# DIST_PNC,OXFORD_COMMAS,NUM_PARAGRAPHS,NORM_FULL_STOPS,NORM_COMMAS,AVG_SENT_LEN,UNIGRAM_OVERLAP,BIGRAM_OVERLAP,TRIGRAM_OVERLAP,MATCHES_VOCAB_5K,MATCHES_VOCAB_10K,POLARITY,SUBJECTIVITY,SENTIMENT_ES,SENTIMENT_ML,SENTIMENT_ML_SCORE,FLESCH_READING_EASE_SCORE,FLESCH_KINCAID_GRADE_SCORE,SMOG_INDEX_SCORE,COLEMAN_LIAU_INDEX_SCORE,AUTOMATED_READABILITY_INDEX_SCORE,DALE_CHALL_READABILITY_SCORE,DIFFICULT_WORDS_SCORE,LINSEAR_WRITE_FORMULA_SCORE,GUNNING_FOG_SCORE,FERNANDEZ_HUERTA_SCORE,SZIGRISZT_PAZOS_SCORE,GUTIERREZ_POLINI_SCORE,CRAWFORD_SCORE,ADJ,ADP,ADV,AUX,UNK,CCONJ,DET,UNK,NOUN,NUM,UNK,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,UNK,UNK,SPACE
5.00000000,0.00000000,4.00000000,0.08212560,0.03381643,23.76470588,0.00290698,0.00149701,0.00138696,0.79315068,0.06301370,0.01211207,0.54150667,0.99999999,-1.00000000,0.25000000,55.07000000,11.70000000,13.70000000,10.74000000,13.80000000,7.71000000,105.00000000,12.20000000,12.73000000,91.90000000,91.65000000,40.21000000,2.90000000,0.15458937,0.21014493,0.07246377,0.14009662,0.00000000,0.06280193,0.14492754,0.00000000,0.41304348,0.00724638,0.08212560,0.18599034,0.01207729,0.12077295,0.07487923,0.00000000,0.25362319,0.00000000,0.00000000,0.01690821
9.00000000,1.00000000,6.00000000,0.08312958,0.07090465,17.83720930,0.00296736,0.00159236,0.00148588,0.81925926,0.04296296,0.08735876,0.50868480,1.00000000,1.00000000,0.75000000,85.62000000,6.10000000,8.30000000,7.78000000,9.20000000,7.20000000,68.00000000,10.80000000,8.88000000,115.10000000,110.00000000,46.48000000,1.60000000,0.10513447,0.18581907,0.13447433,0.18092910,0.00000000,0.06112469,0.17603912,0.00000000,0.38141809,0.02933985,0.04645477,0.12224939,0.00977995,0.17848411,0.06112469,0.00977995,0.17848411,0.00000000,0.00000000,0.01466993
8.00000000,0.00000000,4.00000000,0.07865169,0.03932584,20.44117647,0.00361011,0.00184502,0.00163934,0.86080000,0.02400000,0.15113080,0.50347619,1.00000000,1.00000000,0.75000000,72.39000000,9.10000000,11.40000000,9.06000000,12.20000000,7.25000000,60.00000000,12.40000000,11.17000000,104.30000000,99.66000000,43.25000000,2.30000000,0.13483146,0.20224719,0.13764045,0.13202247,0.00000000,0.05617978,0.17977528,0.00000000,0.36516854,0.00561798,0.06179775,0.18820225,0.02808989,0.15449438,0.06460674,0.00000000,0.23314607,0.00000000,0.00000000,0.00842697
6.00000000,0.00000000,5.00000000,0.07912088,0.08351648,21.73684211,0.00277778,0.00149925,0.00138696,0.84836066,0.03688525,0.12054307,0.43540907,1.00000000,-1.00000000,0.25000000,65.05000000,9.90000000,12.00000000,10.22000000,12.70000000,7.98000000,107.00000000,8.00000000,11.59000000,99.40000000,98.26000000,41.71000000,2.40000000,0.18461538,0.18241758,0.07032967,0.11428571,0.00000000,0.06593407,0.14945055,0.00000000,0.35384615,0.01538462,0.07032967,0.15604396,0.01098901,0.17142857,0.03736264,0.00219780,0.22197802,0.00000000,0.00000000,0.00879121
7.00000000,0.00000000,1.00000000,0.06823529,0.08941176,27.34482759,0.00283286,0.00159236,0.00147059,0.83670520,0.04190751,0.10873974,0.46945615,1.00000000,-1.00000000,0.25000000,69.75000000,10.20000000,11.70000000,8.94000000,13.60000000,7.74000000,81.00000000,11.40000000,12.76000000,101.60000000,96.49000000,42.51000000,2.40000000,0.13176471,0.18588235,0.06588235,0.15058824,0.00000000,0.08470588,0.14352941,0.00000000,0.40000000,0.01411765,0.07294118,0.17176471,0.02117647,0.17411765,0.05411765,0.00000000,0.18352941,0.00000000,0.00000000,0.01176471
5.00000000,0.00000000,1.00000000,0.06052632,0.03684211,32.45833333,0.00304878,0.00156006,0.00140845,0.87621697,0.01947149,0.14530407,0.50214612,1.00000000,-1.00000000,0.25000000,60.21000000,13.80000000,12.40000000,9.06000000,17.80000000,7.90000000,85.00000000,14.25000000,16.38000000,92.00000000,89.91000000,39.52000000,2.40000000,0.18157895,0.15000000,0.12105263,0.17368421,0.00000000,0.08157895,0.17631579,0.00000000,0.35526316,0.01052632,0.08684211,0.23157895,0.00263158,0.12631579,0.08421053,0.00000000,0.25526316,0.00000000,0.00000000,0.01315789
7.00000000,2.00000000,5.00000000,0.06466513,0.10392610,28.41379310,0.00313480,0.00161290,0.00141844,0.86968450,0.01097394,0.12993740,0.44459982,1.00000000,0.00000000,0.50000000,65.80000000,11.70000000,10.70000000,8.31000000,14.70000000,7.56000000,76.00000000,14.25000000,13.98000000,97.60000000,97.13000000,42.67000000,2.10000000,0.14318707,0.23787529,0.10392610,0.09699769,0.00000000,0.03464203,0.18937644,0.00000000,0.32332564,0.02540416,0.05080831,0.18706697,0.03464203,0.18244804,0.06466513,0.00000000,0.21247113,0.00230947,0.00000000,0.01385681
9.00000000,0.00000000,1.00000000,0.07110092,0.05504587,25.32352941,0.00268817,0.00142450,0.00130890,0.84102564,0.02435897,0.09051902,0.45574187,1.00000000,-1.00000000,0.00000000,72.80000000,9.00000000,11.00000000,8.19000000,11.30000000,7.36000000,93.00000000,10.50000000,11.37000000,104.70000000,101.32000000,44.82000000,2.20000000,0.14220183,0.18119266,0.10321101,0.13073394,0.00000000,0.09174312,0.13761468,0.00229358,0.31651376,0.00688073,0.07798165,0.24082569,0.01376147,0.16972477,0.08486239,0.00000000,0.26605505,0.00000000,0.00000000,0.00917431
7.00000000,1.00000000,2.00000000,0.08955224,0.09452736,18.41463415,0.00295858,0.00173310,0.00161812,0.77743431,0.06336940,0.10360182,0.50790611,0.99999996,1.00000000,0.75000000,72.36000000,7.10000000,9.90000000,9.05000000,8.80000000,7.32000000,87.00000000,6.22222222,8.36000000,106.70000000,106.43000000,45.15000000,2.00000000,0.10945274,0.15671642,0.06965174,0.18905473,0.00000000,0.03731343,0.17661692,0.00000000,0.30845771,0.01492537,0.08208955,0.18905473,0.04726368,0.20646766,0.05721393,0.00000000,0.22885572,0.00000000,0.00000000,0.00497512
5.00000000,0.00000000,6.00000000,0.10049020,0.03921569,19.40000000,0.00290698,0.00161812,0.00149477,0.82404692,0.03812317,0.05301781,0.48132602,0.99986127,-1.00000000,0.25000000,75.74000000,7.90000000,10.00000000,9.75000000,11.40000000,7.98000000,109.00000000,5.75000000,10.19000000,107.60000000,102.31000000,42.70000000,2.20000000,0.11029412,0.19117647,0.10784314,0.12500000,0.00000000,0.03921569,0.13235294,0.00000000,0.42647059,0.00980392,0.07598039,0.18627451,0.01225490,0.16666667,0.05147059,0.00000000,0.25490196,0.00000000,0.00000000,0.01225490
