id,filename,topic,essay,class
0,0100.a2.txt,We shouldn't exploit animals.,"Today most of us accept science. Science of today, especially Darwins Evolutionary Theory teaches us that the human race has developed from animals and that humanbeings basically are animals among other animals. Eventhough we do agree with this aspect of science we tend to consider man as the crown of creation with a natural right to treat animals as we please and use them for our own purposes as food, tools and experimentinstruments. I belive this is wrong and in this essay I will explain why we morally have no right to exploit animals. I am also going to show how meaningless many of the experiments made on animals are.

To begin with I would like to say that the line we draw today in order to distinguish ourselves from animals is strictly arbitrary. There isn't any quality that includes all humanity that empower us a narural position as superiour to animals. Most humanbeings have unique capacities though, such as language and higher mental abilities but it's important to emphasize that these abilities don't include all humanity, for example they don't include seniles, mentally handicaped or newborns. In fact there are some fullgrown vertebrates that have higher mental abilities than seniles.
The concept ""animals"" is very wide and include a variety of different creatures from chimpanzees to oysters. We are often very conscious about making a distinction between humans and chimpanzees but scientifically it's proved that humans are more psycologically related to chimpanzees than chimpanzees are to oysters. Personally I think it would be more logical to draw the line between creatures that have consciousness and those who haven't. The animals with consciousness have feelings and goals for their existence, they can feel pain and know if a thing goes good or bad. All these animals should have the same right as humans to exist for their own sake as individuals and not being valued just for how useful they are to humans. For example, just as we wouldn't do experiments on or eat mentally retarded we shouldnt do it to animals since intelectual abilities seem to be the things we base the world hierarcy upon.

There are laws that prevent ordinary people from beating their dogs to death, but a scientist can do the exact same thing without being punished. The difference is that the scientist is supposed to promote science. It's hard to understand how people can spent their workinghours putting monkeys in lifelong depressions, heating up dogs until they die or make cats drug addicts. It's even harder to understand that the taxpayers allow this to happen. 
I think that one explanation is that people in general have a huge faith in science and that they have no idea what's going on in the labratories. A lot of people think that cruel experiments are justified because they are necessary in order to come up with new medicines and cures to save human lives. This attitude has very little to do with reality. The truth is that most of the time these experiments are trivial and meaningless. There are of course some experiments that have led to new knowledge in medicine but in proportion they are very few. Most of the painful experiments are not made in order to save lives, they are made in order to make new products for the luxery industry, the industry or the cemical weapon industry. These are things that we don't really need for our survival.
There is always a risk translating one species_ reaction to another. One example of what can happen is the case of Neurosedyn. Scientists tested Neurosedyn on a lot of animals before it was released on the market. On the animals it didn't cause any deformity on the foetus but on humans it did.
I think that in the high technology era of today there must be rather easy to come up with some alternatives to experimenting on animals.

In this essay I have emphasized that human beings have no natural right to exploit animals the way we do today. The way we act towards animals, especially the ones with consciousness, is very discriminating since we can't distinguish ourselves from them in a clear way. I also think that we have to stop the cruel experiments on animals that are performed today and find other alternatives because they are painful and cause alot of unnessecary suffering, they might also be dangerous to humans.",0
1,0101.a2.txt,Speed limits- life saver or nuisance?,"How can we avoid traffic accidents? Unfortunately, we can not, but we can reduce the number of people getting injured and even killed without too much of an effort. It would not take much from the driver; a couple of kilometres per hour slower and a tragedy is prevented.
In my opinion, speed limits are most definitely a life saver and I will in this essay argue for them to be more carefully looked after.

There has been some debate on this topic lately and politicians, for example, have argued that speed limits should be lower in winter time. Our neighbour in the east, Finland, already practises this principle. Speed limits on certain roads are lowered and the result is that fewer people get killed or injured. This is something that we here in Sweden must take after. Every year in the winter the amount of traffic accidents increase due to bad weather. The roads may seem dry and safe when they are in fact covered with a thin layer of ice. The weather factor and the false feeling of security, almost of immortality, in our new cars are two of the dangers when driving. Of course, speed limits can not be reduced everywhere just because of the fact that it is winter or that we feel safe in our cars. But, for example, on roads that are known for being dangerous the speed limit could be changed from 110 kilometres per hour to 90, or from 90 km/h to 70. This procedure would certainly save many lives.

Another good reason for lowering the speed limits is for the sake of the environment. Cars impose a great threat to nature with their fumes and until more environment-friendly cars are built a slower speed will reduce the damages on nature. This fact might sound a bit strange, but it is true that the faster cars go, the more exhaust fumes are spread.

My third argument on this topic is that people who drive too fast should be more often punished. Every time I go by car on the motorway to Stockholm, I notice that nearly half of all drivers are speeding; some of them go as fast as 140 km/h. That is not acceptable! It is irresponsible because on a motorway, you are not alone and an accident in 140 km/h is a disaster. As I mentioned earlier on, there has been quite some debate about speed limits lately and one terrifying fact that came up was that if the driver is driving two km/h too fast, the risk of getting killed increases with 20 per cent. Thus, the margins are very small. 

So what can we do? We can obviously drive slower, but what if we do not? Should punishments (fines, jail) be tougher? One could hardly argue for that speeding offences should lead to prison, that is taking it a bit too far. Fines however are in my opinion a very good punishment. People love money and may think twice before speeding again after a fine of a couple of thousand crowns. The problem today with fines is that not very many people are stopped by the police and forced to pay. There is simply no money to provide for enough policemen to keep after the drivers. The question is whether the government should put more money into the police force or not. More money would not just make the roads safer but also, obviously, reduce all crimes. That is however a totally different story. One solution to the speeding problem could be to have camera supervision to register cars that go too fast. This way, the need for policemen in the traffic is not so urgent. 

After treating this subject, I see that this is a huge problem and that it can not be easily solved. People like driving and people like driving fast. The motorways are big and the cars feel safe so there should not be a problem, many seem to think. But what if suddenly, a rabbit jumps out in front of the car?",0
2,0102.a2.txt,"I've chosen a rather complex topic, the Internet, for this essay. It is a topic that is disscussed all over the world. There is a ongoing debate about if it is good or bad. I'm going to argue, as it says in the title, that the Internet is the garden of Eden and not the Hades. I'm very aware of the arguments against it. Everyone of the arguments for the Internet, that I'm going to present, have ""dark"" sides as well. I know that there are a lot of arguments for the Internet but I'm only going to use the arguments that I think are the most important.","The most obvious argument for the Internet is the information. It is an enormous bank of information and it's not just one kind of information that you can find there. There are webpages with information about cooking, music, how to travel in Tibet, how to improve your cleaning of the bathroom and the list can go on for many, many pages. A wide range of information have become available for a rather large part of the world's population(for the population of the industrialized countries anyway). I think that is good for I belive that people can't have too much information and it is the individual that should decide which information he or she wants to take part of and not the government. The only time the government should act are in the extreme cases like childpornography and other crimes. The Internet has made it really easy to look for and find information. You only(?) have to have access to a computer and a modem and then you can surf the Net. It is much easier than having to go to the library which maybe is located a couple of mils from your home. The Internet makes it possible for people to find information that they would have a hard time to find anywhere else, especially nowadays when for example many musicians release music over the Net which can't be found anywhere else and if you are a music freak like me then you just got to have access to Internet. 

There is a really social side to the Internet as well even if it seems like a contradiction in terms. Many people is using the Net to talk with other people from all over the world. You can meet persons that you normally wouldn't meet, I mean how often do I meet people from, for example Singapore, in the ""real"" world? You can discuss different topics in groups with people that you never met before or discuss with only one person in special chat rooms who are designed for that purpose. I have seen in the newspapers that people who met over the Internet have gotten married. I think that's proof enough that the Internet is a good thing. I mean think of the people who live in unpopulated parts of the world, Internet gives them a better chance to find someone interesting. I'm of course well aware of the persons that have been injured or even killed when they have met people who they found over the Internet. But I think that this have and will unfortunately happen with every kind of medium. I think that the Internet makes the world a smaller place to live on.

A related thing is shopping and that has really had a big boom during the last years. You can buy just about everything over the Internet like music, books, food, clothes and so on. The good thing about this is that the stores on the Internet have better prices because they have less expenses than usual stores. The competition makes the ordinary stores lower their prices as well and that is very good for us consumers. There isn't only shopping which is very big on the Internet, the service side has grown as well. There are insurance companies, food-deliverers and ""Arbetsförmedlingen"" has their own site where you can look at the job-advertisements from all over Sweden. If think that this sector is going to grow much bigger on the Internet. 

I think that the Internet will grow much bigger and better in the years to come mainly because of technical improvements like better modems and such. Internet will have a larger impact on people's lives than it has today especially people in unpopulated areas like ""Norrland"" in Sweden.",0
3,0103.a2.txt,Physical Education - An Investment for Life,"The Swedish public health in is danger. We are getting fatter and fatter thanks to the modern technology that is taking over our world. More and more hours are used up in front of our computers, surfing on the Internet, playing games, making bank errands, almost anything is possible, if not to say everything. We do not have to take many steps a day to live a very convenient life. Our children take the bus to school; they walk between the classrooms, when they get home they move between the TV and the computer. They do not get the exercise that is essential for a good and wholesome life. At the same time the number of hours of physical education in school is decreasing, I see that as a big threat to our children's health in the future. If we want our next generation to have a good physical condition, we must give them these extra hours.

Many children are spending their spare time playing video games and watching TV, they are living a more and more sedentary life. Sport is getting less significant in the computer world that is growing with a tremendous speed today. It is important to get our children to understand that physical education is not only about chasing a ball, running the fastest, jumping the highest or throwing the longest. But it also concerns the teaching of how our body is functioning, how to eat healthy and to take care of ourselves. Studies have shown that the average weight for 15-year-olds has increased with 3-4 kilos during this last decade. For a growing child it is of a big importance to be physically active. In lack of bodily activity, the muscle mass gets reduced; the condition changes for the worse, the skeleton gets more fragile and the flexibility decreases. Several of our most frequent diseases are related to physical inactivity for example heart and vascular disorders, diabetes, fatness and joint- and back problems. 

The number of children joining local sport clubs is declining, so for many kids and youths the only exercise they get is that what they get in school. According to studies made by the Swedish Sports Confederation, the hours of physical education have decreased in 75% of the elementary schools, and in 70% of the senior high schools. To compensate for the cuts, the school boards are giving the students the possibility to take sports as an individual choice. But this only attracts those who are interested in sport and health, and who are generally already involved in some activity outside school. This opportunity does not appeal to those who really are in need for physical education, but hate it. They will, of course, choose another curriculum. So to reach to those who do not like the subject, it must be compulsory with physical education. In school, children get the chance to try on different kind of sports and physical activities. Things they possibly would not get in touch with otherwise. So the more hours of physical education, the more hours for discovering an activity that suits each and every one, and hopefully will lead to a continuing exercising.

Physical education also improves the studying. It is difficult to sit in school through six classes of theoretical subjects and stay concentrated. Many children suffer from headaches. Often caused by lack of fresh air, bad school environment, eating food that is not nutritious or eating nothing at all. If we could make these students see the importance of exercising and eating nutritiously they would do better in school. They get healthier, they stay awake during class and it gets easier for them to focus on their assignments. Studies show that a good physical condition improves the results in school. To take a break from all the facts that are squeezed in one's head, and to do something completely different can only lead to a positive result, students will pay more attention in class and will be willing to learn more.

I would say that our children's health are very much dependant upon the physical education they get in school. If we take away from them, these very valuable hours of exercise, the chances for them to get serious illnesses increases, it will get harder for them to be concentrated and focused in class, they will live an unhealthy life, and we do not want that for our children.",0
4,0104.a2.txt,To be or not be (a vegetarian),"Dustin Hoffman, Bob Dylan and Chelsea Clinton all have one thing in common and that is the fact that they are vegetarians. Why have they, and many with them, decided to exclude meat from their menus? We don't know what the reasons were behind their decisions, but there are many reasons why people choose to become vegetarians and I will write about some of them in this essay. There are lots of good arguments for being a vegetarian and among the many reasons are beliefs about ethics, culture, health, religion, economics, world hunger, and the environment. 
The first thing that strike me is the way the animals are treated by us humans, and Alice Walker once said ""The animals of the world exist for their own reasons. They were not made for humans any more than black people were made for white, or women created for men."" This is something to think about when we treat animals the way we do. Do we really have that right? I'll leave that question unanswered, but the way animals are transported is not defendable and you might have seen on the news a few years ago how cruel animal transports were and still are. If that wouldn't be enough; many animals are forced to live unnatural lives, where they never see the sky and they are crammed into far too small living spaces, just to have it ended without any form of anaesthetic. This isn't always the case, but in far too many cases this is the bitter truth. 
An other thing that might be an important factor for choosing this lifestyle is that research show that vegetarians' health is better, and that they live longer than other people. A too large consumption of meat causes fatness, hardening of the arteries, high blood-pressure, several forms of cancer, diabetes, gout, brittleness of the bones among other things. You won't get all of this just because you eat meat, but the risk of getting it increases. It is absolutely possible to get necessary vitamins, minerals, and protein from non-meat sources. Sure, the human digestive system is adaptable and can handle small amounts of meats, but my point is that if we choose to become vegetarians, we will be on our way to a healthier lifestyle.
Furthermore, thousands of people die every day from starvation. At the same time a third of the world's crop become animal food - in the U.S. as much as seventy percent. Fifteen vegetarians can be fed on the amount of land needed to produce a meat-centered diet for one person. The food that could be saved if people became vegetarians would be enough to feed the starving people in the world. But if we continue as we've done before, the energy is lost that could save the world from hunger. Sooner or later it's likely that we all have to become vegetarians, either we want to or not. 
Another argument talking for vegetarianism is that it's beneficial for the environment. We are six billion people on this planet now, and all of us can't eat meat, since nature can't take that much stress. In order for people to eat meat; livestock must be fed and housed and the products refrigerated, which requires great amounts of resources. Production of a certain amount of energy or protein in the form of meat is harder on the resources than production of the same amount of energy or protein in the form of vegetables. A vegetarian diet requires far less water, and decreasing the population of livestock would reduce pollution from manure and animal wastes.
So it's of my opinion that it's not morally defendable to cause environmental pollution and suffering for millions of animals if we don't have to, and if we can find the key to better health and an answer to the world hunger at the same time that's just great. But in the end it's of course up to everyone to make their own decisions if they want to be a vegetarian or not, but I hope I have given you something to think about next time you sit down at the dinner table.",0
5,0105.a2.txt,UNPAID WORK FOR UNEMPLOYED?,"Many people might think that forcing unemployed people out to do unpaid work for the public sector would be degrading or even cruel, but I think that most people whohave been unemployed for a longer time would infact welcome this opportunity. Not only because of the obvious fact that they will get some work experience but also to get out and meet people and feel useful. For the public sector this would also be posetiv since they at present are terribly understaffed but also have no money to employ more people.
Today I would say that there are two types of people that are unemployed who would benifit from this, first the person who does not want to have a job but thinks that beeing at home, doing nothing and at the same time collecting unemployment benefits is pretty neat. In this case I do not think that the person in question himself would benefit so much from having to work unpaid, but instead the society would. First for the obvious reason that the person would do a community service but more important: I think that in many cases these people would probably rather go out and try to find themselves a better job and thereby not be dependent upon the government. 
The second type is the ones who might have poor education and little or no work experience. For these people I think this is a wounderful solution because the three most common worries for them are; they become isolated from the outside world when they have to stay at home to apply for jobs or wait for telephonecalls from jobs they have applied for. They can also feel that they have nothing in common with the people who actually do have a job. Secondly they feel that they do not contribute to society and to many people, especially they who are a little bit older and who are used to have worked unrelentlessly all their lives, this might be a huge problem. Last but not least is the problem that they are not improving their situation, by this I mean that the longer you are unemployed the harder it is to get a new employment since many companies nowdays tend to wounder why you have not had a job. 
As far as the public sector itself is concerned hardly a day goes by without you hearing on the news about the lack of people and money. This would be easily helped by this system. One good example is the hospitals who are understaffed which leads to the maltreatment of patients, why not instead bring in people who might be qualified for some easier work to offload the nurse and let her consentrate on more important duties that requires the expertise she posesses. Work like making beds, changing bed- pans, easier office-work or maybe just keeping the elderly company for a couple of hours a day. Same thing applies to the police-force where there is much argument about the police-officers themselves having to do their own paper-work. I am sure that there are many unemployed today who have skills enough to do this kind of work and if you do not there are always more unqualified work such as park maintenance and such. 
Of course there is problems with this system aswell. Problems such as the added bureaucracy that this will inevitably bring and which, in my own opinion, is already a huge problem in Sweden today. And also a number of questions appear, for instance; what do you do if an unemployed person does not do his job well, do you have the right to fire that person; how long are you suppose to stay at one job if unable to find a regular job; how do you decide who is qualifed for a certain job and who decides this: the employer or the unemployment-agency.
Another legitimate question is whether it would not be better to give these people a proper job since you have to pay them either way. And obviously this would be the solution that I also would prefere but our politicians today seem to think that we can not afford this even though these people are being paid by them either way. But I say give these people their jobs and thereby also their dignity.",0
6,0106.a2.txt,Financing studies - Sweden vs. Finland,"When I first moved to Sweden to start at the university I soon got aware of the huge difference between the systems of financing your studies in this country and my own, namely Finland, or the Åland islands. I was astonished by the fact that my fellow students were given approximately twice as much money as I every month, and, of course, this was a bit upsetting. Having had a bit more insight into how the Swedish system actually works, I am, however, relieved to be excluded from it. In my opinion the Finnish system is a lot better than the Swedish one.

The system used in Finland for financing studies is in many ways different from the one used in Sweden. One difference is that the amount of money actually given to you is higher, amounting to approximately 2400 crowns a month. You also get an accommodation grant which can amount to 1500 crowns. In addition to this you are able to loan up to 30,000 crowns a year from the bank since the community stands security for you. This is, in short, how the Finnish system works, and I think there are quite a few factors in favour of it.
Firstly, the amount of money granted to you, that is, not loaned to you, is much higher than in Sweden. Since you get almost four thousand crowns every month you don't have to take as big loans as in Sweden, where you have to loan quite high amounts of money to get by. If you have a good sense of economy (and a reasonable rent), with the Finnish system you can even get by without loans, something that is next to impossible in Sweden.

The second very good thing with the Finnish system when comparing it to the Swedish one, is that if you are going to take a loan you do it directly from your own bank. When you have applied for student support you get a paper sent to you granting you money for the coming semester. When you want to loan money you simply take this paper to the bank, decide how much money you want, and the amount will be in your bank account the same day. Consequently, you don't have to get into trouble with any administrative institutions like the CSN in Sweden; instead you have a direct contact with the bank.

My final argument in favour of the Finnish student support system is also, in my opinion, the most important one, regarding both the individual and the community as a whole.
Whereas in Sweden, students who have taken loans only have to pay off these until retirement, with a fixed percentage every month, students taking loans in Finland are obliged to pay back every penny of theirs. As soon as you get a job, or within two years after finishing your studies, you have to start paying back. The rate put down every month is dependent on how high your loan is, and on the size of your salary. The idea is that you are to pay back the loan within a period twice as long s that of your studies, but you can, in fact, get a few years extra if needed. You also get released from the payment if you lose your job, but as soon as you are employed again you have to continue the down payments. This system is a great deal better than the Swedish one since the money loaned to students are actually paid back. The Swedish system results in tremendous amounts of money ""disappearing"", since very few students manage to pay back their whole debts.

Being a temporary ""immigrant"" in this country I have realized that there are quite a few differences between the Swedish way of things compared to that of my home country. One of the most obvious features of Sweden, in my opinion, is the tendency to make everything a bit more difficult than necessary, especially when it comes to administrative areas, and I think this tendency has come to its climax in dealing with student support. I know I'm not the only one who thinks the Swedish student financing system doesn't work very well and there is a continuous debate dealing with this problem, so I really hope that, in a near future, someone will come up with a satisfying solution. As we have in Finland.",0
7,0107.a2.txt,Stop commercial breaks on television,"""I declare war, against split ends and damage hair"", ""Gillette, the best a man can get"". There are many examples of commercial phrases that television provides us with. According me, they are neither good or necessary and destroy my comfortable evenings in front of the television. I think commercial should be removed from the televisionscreen so everyone can choose what they want to watch.
In the first place, commercial on television conduce to annoying breaks you actually do not need or want. After twenty minutes of a good film I am not in a mood to be interrupted; probably I just got hang of the action. During the breaks you often switch over to another channel and you might get interested in that program instead. Is that what television commercial is meant for, for us to switch over? Sometimes it also happens that you forget to get back to the first program in time because the breaks are very unsettled and you never know if they will last for two or five minutes. An impatient atmosphere often occurs and it is also sometimes difficult to get back in the action after been doing other things for a moment.
In the second place, television commercial makes people dislike products because of the way we get introduced to them. I would feel stupid to call ""Via direct"" and I would never buy Ajax products because I know people do not clean their houses dressed up with a happy face as the woman in the commercial and I do not want to look so ridiculous as she does. It is so pathetic so I can not believe in what they assert. I have had enough of comments like ""because I am worth it"" and I rather use shampoos, make up and other products which are not so overrated.
Finally, I will account for the main argument why I think commercial should be removed from our televisionscreens. This kind of commercial is not realistic, it directs chiefly to women and it often alludes to sex. The nuclear family with members look like supermodels, teeth which are white and shining and look plastic because of some chewing gum or toothpaste and mothers who do the washing, smiling and laughing - is this the picture of society we want to give children and young people of today? As a woman I can sometimes feel humiliated because of all these false messages. I think in particularly of the one when good looking women are cheering and clapping during a race for their dishcloths. I do not want to be described in such a naiv and unintelligent way and it does not appeal to me at all. I often wonder how smart the persons that create these commercials are, do they think at all? As a consumer I know that my hair will not be shiny and fluffy just like in the commercial, I understand that the advertising film does not show or tell the whole true and that special effects are used. If I buy a product it is because of the price or if I like it, not because Kate Moss tells me to use it. The ""sextheme"" is very popular today so even in commercials. JC tried to sell a sexy attitude last year where teenagers were sitting in the grass and started their foreplay. You could not hardly see the clothes, instead you felt the exiting atmosphere and saw their desire for love in their faces. When teenagers who buy their clothes see this kinds of commercials I think they get a wrong view of what love and life in that age is all about but when it comes around they like to wear JC cloths because it gives them the right (in this case sexy) image. 
I do not mean that all commercial is bad even though I think most of it is worthless. Still, it influences us more than we can imagine. Even if I am aware of the commercials' purpose to try and affect us, it still gets to me somehow and especially television commercial because we get picture and sound at the same time. I know that some channels need to have commercial breaks; it is a big part of their financing and important money. But, I have got a solution, or a compromise; if commercial has to be on, show it after and before instead of interrupt during programs. When I and many others take place in front of the television it is because we want to relax, be entertained, stimulate our interests and not to get irritated. I want to make my own choices, even when it comes to television programs.",0
8,0109.a2.txt,Thou shall not kill,"Men and women have sex. Sometimes this love-making leads to pregnancy, sometimes not. Some women have no difficulty reaching a decision to keep the child, while others, depending on different circumstances, chooses to go through an abortion. Maybe these women are very young, maybe they are in other diffucult situations of life. Whatever the causes really are ain't that important since abortion is lawful. That's the case in Sweden, and that's the U.S. Supreme Court interpretation of the Constitution. Nevertheless there are dark clouds appearing on the American sky. Aggressive anti-abortion movements, often Christian, for example God's Army are using violence against the doctors who, on requests by the pregnant womens, carries out the abortions. Seven doctors have so far been killed, and many others has been injured or threatened. With this essay I would like to discuss these radical movements, and I will try to answer to some of the arguments, which these movements have in an attempt to justify the use of violence.
A documentary, recently shown on Swedish television, dealt with this violence. I was terrified in the ways the radical antagonists was convinced that their violence was justified. One pastor of a church told that he had learned all his children, at the age of one, which finger was the trigger-finger. He considered it important knowing how to use weapons in the right way. And I, who always have believed that Christianity took a stand against violence. He also thought that abortion doctors were murderers, but those who killed the doctors shouldn't be seen as murderers, instead as saviours of life. I have a lot to say about these statements of his. I feel a sense of double morality in their believe. 

Shouldn't every murder be seen as a murder, or is it up to the individuals to decide? And I also wonder where in the Holy Scripture it reads that it's okey to murder in some cases. Have the movement forgot the Decalogue. As I recall it, isn't one of the commandments:""Thou shall not kill""? One of the antagonists provided the discussion with a further dimension, in his attempt to justify their use of violence. He questionned, with a self-satisfied expression on his face, whether if someone would have shot Adolf Hitler would have been seen as a killer? Once again, hasn't every murder have to be seen as a murder? But his statement was interesting to this discussion. If Hitler, for certain a real jerk, wouldn't had committed suicide, he surely would have been seen as responsible for the ethnic cleansing in World War II. He would have been seen as responsible for the death of million lives. He surely would have been convicted as a murder, although he probably never killed any human being with his own hands. He had those who executed his orders. Would it then be okay to kill every man who worked for Hitler? Or is it okay to kill every single soldier who has been involved in wars? Most humans would agree with me that it would be wrong to kill the soldiers, who are only obeying order. And if that's the case, how could it right to kill the doctors? They are only doing what the pregnant mothers are ordering them to do. I hope you have reached the same conclusion as I have, that abortion should be a decision for the women to take. That decision is hard enough to take, even without aggressive movements using violence, terrifying the doctors. In this essay I have tried to show that their use of violence cannot be justified, and I have tried to show that their arguments are quite weak. It has to be said that every anti-abortion movement ain't militaire, but it's those who is seen and heard. It is those who got it all wrong. If you are pro life, you can't take lives.",0
9,0110.a2.txt,Time is all we got!,"Why are working people in Sweden so stressed? Why do many people feel they cannot fullfill everyones expectations? The demands upon people of today are enormous. In my essay I intend to argue in favor of a reduced working-hour week, not only for parents of small children but for everyone.

Most people try to adapt to reality of everyday-life. When people work a forty-hour week it is easy to see that time is really limited. You are forced to make choices, in order to master the demands made from different individuals. Some people are devoted to their work and therefore neglect their family, while other's usually women choose to care for the children and therefore they will not be first on the list for promotion. Having children and making a career at the same time is very hard. Everyone tries to find a balance in their week-days, but this goal is very difficult to achieve.

Sressrelated diseases are very common in the Western World today. It is in fact a rapedly growing problem. Daily we can read about people suffering from different types of stressymptoms like sleepingproblems, headaces, digestionproblems, e.g. Most people learn to live with theese symptoms, but some neglect themselves and try to manage by using sedatives or alcohol. Patients who have suffered from a nervous break-down, or heartattack have been forced to rearrange their lifestyles as well as their values of life. Reading these stories makes it very clear to me that we have to reduce our working-hour week in order to benifit ourselves as well as our fellow-beings. I know from my own experiense that some people discuss their situation in a way that it sounds like they are in full control of everything, but I think that is mission impossible. Others talk about their time they spend with their children as quality-time. I believe time is what is quality when it comes down to familyrelations.

Looking at this question from a different angle, I think a six-hour workingday would benifit employers. It is common knowledge that employees who work parttime are rarely sick. Early retirement would also diminish in number as a result of this reform. That would save a lot of money for the health-insurance office. Studies in Finland have shown that people who worked six hours a day still produce as much as those who work a full forty- hour week. If people work six hours a day it would be possible to have a flexible schedule. That would make it easier for people to have a much greater influence of how their working day could look like. This has also a positive effect on peoples health. Some people might want to start early, while others want to sleep in and start their day a bit later. It would furthermore make it easier to find time to run errands we all have to do e.g. going to the bank, dentistappointment and so on. Opinion-polls that have taken place in Sweden have shown that most people are in favour of a shorter workingday instead of a payraise. Next period of agreement conserning the local government employees this issue will be raised. 

That is a step in the right direction as far as i am concerned. Today a lot of people look at their working-week as a distance to be transported inbetween week-ends. By the time people have holidays, there are generally demand on everyone to make up for lost time with family and friends. I believe that we are deceiving ourselves. I think we ought to reconsider matters and try to seize a chance of living in a more satisfactory way everyday.

Some people might argue that people worked much harder in the older days.That is true, but despite that I do not think that people lived under the constant strain that we experience now in our fast moving consumer society.Therefore my conclusion is that politicians should take measures to improve the living conditions for its citizens. This would be a step in the right direction to promote equality between men and women, as well as a more humane society.",0
