# DIST_PNC,OXFORD_COMMAS,NUM_PARAGRAPHS,NORM_FULL_STOPS,NORM_COMMAS,AVG_SENT_LEN,UNIGRAM_OVERLAP,BIGRAM_OVERLAP,TRIGRAM_OVERLAP,MATCHES_VOCAB_5K,MATCHES_VOCAB_10K,POLARITY,SUBJECTIVITY,SENTIMENT_ES,SENTIMENT_ML,SENTIMENT_ML_SCORE,FLESCH_READING_EASE_SCORE,FLESCH_KINCAID_GRADE_SCORE,SMOG_INDEX_SCORE,COLEMAN_LIAU_INDEX_SCORE,AUTOMATED_READABILITY_INDEX_SCORE,DALE_CHALL_READABILITY_SCORE,DIFFICULT_WORDS_SCORE,LINSEAR_WRITE_FORMULA_SCORE,GUNNING_FOG_SCORE,FERNANDEZ_HUERTA_SCORE,SZIGRISZT_PAZOS_SCORE,GUTIERREZ_POLINI_SCORE,CRAWFORD_SCORE,ADJ,ADP,ADV,AUX,UNK,CCONJ,DET,UNK,NOUN,NUM,UNK,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,UNK,UNK,SPACE
3.00000000,6.00000000,7.00000000,0.09191176,0.06617647,22.50000000,0.00438596,0.00256410,0.00229885,0.68973214,0.04687500,0.30779178,0.55526083,0.00000000,1.00000000,0.75000000,84.97000000,12.90000000,14.90000000,13.63000000,14.90000000,6.33000000,35.00000000,16.50000000,10.15000000,82.80000000,81.54000000,35.95000000,3.80000000,0.11397059,0.30514706,0.05882353,0.07352941,0.00000000,0.11764706,0.18750000,0.00000000,0.30147059,0.02573529,0.00000000,0.17647059,0.16544118,0.15073529,0.06985294,0.00000000,0.27205882,0.00000000,0.00000000,0.13235294
3.00000000,3.00000000,4.00000000,0.07488987,0.06167401,27.56250000,0.00469484,0.00303951,0.00288184,0.74777448,0.03560831,0.25694444,0.53298611,0.00000000,1.00000000,0.75000000,82.66000000,13.50000000,15.60000000,13.41000000,16.70000000,6.57000000,29.00000000,11.66666667,11.97000000,84.20000000,79.42000000,35.22000000,3.80000000,0.08370044,0.24669604,0.08810573,0.04405286,0.00000000,0.09251101,0.18061674,0.00000000,0.32158590,0.01321586,0.00000000,0.11894273,0.13656388,0.13215859,0.07929515,0.01321586,0.25110132,0.00000000,0.00000000,0.14096916
2.00000000,1.00000000,1.00000000,0.12935323,0.07462687,12.76923077,0.00657895,0.00406504,0.00378788,0.69961977,0.01520913,0.37236652,0.62878788,0.00000000,1.00000000,1.00000000,89.05000000,9.70000000,11.30000000,11.86000000,9.30000000,5.79000000,20.00000000,4.83333333,5.46000000,88.30000000,85.09000000,40.34000000,3.40000000,0.10447761,0.17412935,0.05472637,0.06965174,0.00000000,0.09950249,0.16915423,0.01492537,0.26865672,0.01492537,0.00000000,0.06965174,0.08955224,0.20895522,0.03980100,0.00995025,0.22885572,0.00000000,0.00000000,0.03482587
4.00000000,0.00000000,1.00000000,0.05347594,0.12834225,49.14285714,0.00609756,0.00403226,0.00383142,0.60800000,0.02400000,0.36985294,0.49558824,0.99168514,1.00000000,0.75000000,52.92000000,23.30000000,22.10000000,18.23000000,29.90000000,9.32000000,50.00000000,24.00000000,21.62000000,52.70000000,49.72000000,21.51000000,4.90000000,0.08556150,0.21390374,0.04278075,0.05882353,0.00000000,0.08556150,0.19786096,0.00000000,0.25133690,0.00534759,0.00000000,0.06951872,0.33689840,0.18181818,0.06417112,0.00000000,0.11229947,0.00000000,0.00000000,0.13368984
4.00000000,1.00000000,4.00000000,0.07428571,0.07428571,21.00000000,0.00649351,0.00401606,0.00373134,0.72692308,0.06153846,0.31517017,0.55097776,0.00000000,1.00000000,1.00000000,69.43000000,16.70000000,17.80000000,17.76000000,19.90000000,6.82000000,28.00000000,15.20000000,12.13000000,67.00000000,65.71000000,28.26000000,4.90000000,0.08571429,0.29714286,0.07428571,0.10285714,0.00000000,0.04571429,0.22857143,0.00000000,0.36000000,0.01142857,0.00000000,0.10857143,0.08571429,0.14857143,0.05714286,0.00000000,0.19428571,0.00000000,0.00000000,0.12000000
2.00000000,7.00000000,6.00000000,0.09950249,0.11442786,17.36363636,0.00578035,0.00347222,0.00323625,0.69435216,0.03986711,0.48548951,0.70547786,0.00000000,1.00000000,1.00000000,84.27000000,12.20000000,13.80000000,11.60000000,12.50000000,6.07000000,23.00000000,11.16666667,9.15000000,84.80000000,80.75000000,40.02000000,3.90000000,0.09452736,0.21890547,0.07462687,0.07462687,0.00000000,0.10945274,0.27363184,0.00000000,0.36815920,0.01990050,0.00000000,0.10945274,0.12437811,0.20398010,0.02985075,0.00000000,0.12935323,0.00000000,0.00000000,0.06965174
2.00000000,0.00000000,1.00000000,0.09090909,0.05844156,25.75000000,0.00680272,0.00425532,0.00400000,0.74900398,0.01992032,0.40506629,0.54952652,0.00000000,1.00000000,1.00000000,87.97000000,11.70000000,13.00000000,12.07000000,12.10000000,5.83000000,12.00000000,8.71428571,8.06000000,85.90000000,84.52000000,39.60000000,3.60000000,0.10389610,0.21428571,0.03246753,0.11038961,0.00000000,0.14935065,0.20779221,0.00000000,0.31818182,0.01298701,0.00000000,0.15584416,0.12337662,0.12987013,0.09090909,0.00649351,0.26623377,0.00000000,0.00000000,0.08441558
3.00000000,6.00000000,6.00000000,0.13559322,0.06779661,16.60000000,0.00680272,0.00425532,0.00403226,0.67699115,0.02212389,0.37968750,0.58958333,0.00182297,1.00000000,1.00000000,91.84000000,10.00000000,12.30000000,16.17000000,14.00000000,6.45000000,20.00000000,6.33333333,7.21000000,90.50000000,88.24000000,33.32000000,3.40000000,0.09039548,0.20903955,0.06214689,0.11299435,0.00000000,0.04519774,0.19774011,0.00000000,0.28248588,0.00564972,0.00000000,0.07344633,0.19774011,0.18079096,0.02824859,0.00000000,0.22598870,0.00000000,0.00000000,0.16384181
5.00000000,6.00000000,5.00000000,0.07103825,0.13114754,26.30769231,0.00675676,0.00392157,0.00377358,0.79365079,0.02380952,0.45733471,0.76270661,0.00000000,1.00000000,1.00000000,75.08000000,16.60000000,15.10000000,10.86000000,18.70000000,7.18000000,20.00000000,16.00000000,14.19000000,76.20000000,72.06000000,37.19000000,3.90000000,0.10382514,0.22404372,0.04371585,0.07103825,0.00000000,0.12021858,0.20218579,0.00000000,0.29508197,0.00546448,0.00000000,0.09836066,0.09289617,0.22404372,0.04371585,0.00000000,0.21857923,0.00000000,0.00000000,0.12568306
3.00000000,3.00000000,6.00000000,0.08139535,0.13953488,18.00000000,0.00746269,0.00446429,0.00404858,0.75600000,0.02000000,0.58448276,0.78448276,0.00000000,1.00000000,1.00000000,77.28000000,13.90000000,15.80000000,12.77000000,15.50000000,6.44000000,21.00000000,11.50000000,10.88000000,80.20000000,73.75000000,36.96000000,4.30000000,0.09883721,0.23837209,0.06395349,0.08139535,0.00000000,0.12209302,0.19186047,0.00000000,0.37790698,0.01744186,0.00000000,0.10465116,0.12790698,0.22674419,0.05232558,0.00000000,0.16279070,0.00000000,0.00000000,0.12209302
